Date,Samsung,Hyundai,SKHynix,KaKao,Naver
2020-12-04,0.025497132,0,0.030907537,0.0406067,0.024097552
2020-12-07,0.019391189,-0.015384919,0.025752496,-0.011630581,-0.01542447
2020-12-08,-0.016597891,-0.036846273,-0.025752496,-0.02764488,-0.015666117
2020-12-09,0.03022208,0.02645657,0.046717625,0.001329469,0.0104713
2020-12-10,-0.013624189,0,-0.03375848,-0.012069677,-0.006968669
2020-12-11,0.006835297,-0.007863736,-0.008620743,0.010740207,0.013889112
2020-12-14,0.005434796,-0.005277057,0.012903405,-0.002677592,-0.013889112
2020-12-15,0,-0.002649008,0.004264399,-0.0067188,-0.010544913
2020-12-16,0,0.007926065,0,0.002695618,0.008795131
2020-12-17,-0.006798123,0.002628122,0.016878038,-0.00809525,-0.001752849
2020-12-18,-0.004101168,-0.00790518,-0.008403411,-0.005428946,-0.00881063
2020-12-21,0,-0.010638398,-0.021322769,0.033493303,0.005295688
2020-12-22,-0.009635312,-0.016172859,-0.030636969,-0.009271965,0
2020-12-23,0.021888699,0.005420067,0.030636969,0.00398046,0
2020-12-24,0.051428603,0.010752792,0.017094433,-0.009308067,-0.007067167
2020-12-28,0.011501724,0.013280408,-0.021414095,-0.002681163,-0.003552402
2020-12-29,-0.005095552,0.00526317,0.004319661,0.030362364,0.007092228
2020-12-30,0.033901552,0.007843177,0.021322769,0.012925499,0.033017769
2021-01-04,0.024391453,0.077635968,0.061368946,0.016542093,0.001707942
2021-01-05,0.010785006,0.0095924,0.03509132,-0.007602775,-0.001707942
2021-01-06,-0.020470311,-0.03151776,0.003824096,0.006343852,-0.008583744
2021-01-07,0.00847976,0.01467019,0.026366876,0.0175442,-0.001725626
2021-01-08,0.068751588,0.177455367,0.025689486,0.075354728,0.074847891
2021-01-11,0.024472857,0.08378803,-0.036904557,0.042840825,-0.009661911
2021-01-12,-0.004405293,-0.024599159,-0.030536724,0.009882379,-0.016313575
2021-01-13,-0.009983444,-0.007692346,0.030536724,-0.00657739,0.032365285
2021-01-14,0,-0.033369141,-0.018975901,-0.006620938,0.012658397
